6s320rb1,ictminisat,,timeout
6s320rb1,minisat2,,timeout
6s322rb646,cadical,,timeout
6s322rb646,ictminisat,,timeout
6s322rb646,minisat2,,timeout
6s329rb19,cadical,,timeout
6s329rb19,ictminisat,,timeout
6s329rb19,minisat2,,timeout
6s341r,cadical,,timeout
6s341r,ictminisat,,timeout
6s341r,minisat2,,timeout
6s342rb122,cadical,,timeout
6s342rb122,ictminisat,,timeout
6s342rb122,minisat2,,timeout
6s343b08,cadical,,timeout
6s343b08,ictminisat,,timeout
6s343b08,minisat2,,timeout
6s344rb054,cadical,24.63,proved
6s344rb054,ictminisat,2.44,proved
6s344rb054,minisat2,2.09,proved
6s344rb150,cadical,,timeout
6s344rb150,ictminisat,,timeout
6s344rb150,minisat2,,timeout
6s348b53,cadical,,timeout
6s348b53,ictminisat,,timeout
6s348b53,minisat2,,timeout
6s351rb02,cadical,,timeout
6s351rb02,ictminisat,,timeout
6s351rb02,minisat2,,timeout
6s351rb15,cadical,,timeout
6s351rb15,ictminisat,,timeout
6s351rb15,minisat2,,timeout
6s355rb08740,cadical,,timeout
6s355rb08740,ictminisat,5.10,proved
6s355rb08740,minisat2,4.77,proved
6s359r,cadical,,timeout
6s359r,ictminisat,,timeout
6s359r,minisat2,,timeout
6s365r,cadical,,timeout
6s365r,ictminisat,,timeout
6s365r,minisat2,,timeout
6s366r,cadical,,timeout
6s366r,ictminisat,,timeout
6s366r,minisat2,,timeout
6s367r,cadical,,timeout
6s367r,ictminisat,,timeout
6s367r,minisat2,,timeout
6s37,cadical,,timeout
6s37,ictminisat,,timeout
6s37,minisat2,,timeout
6s372rb26,cadical,58.51,proved
6s372rb26,ictminisat,10.15,proved
6s372rb26,minisat2,16.41,proved
6s374b029,cadical,,timeout
6s374b029,ictminisat,,timeout
6s374b029,minisat2,,timeout
6s374b114,cadical,,timeout
6s374b114,ictminisat,39.66,proved
6s374b114,minisat2,35.56,proved
6s376r,cadical,,timeout
6s376r,ictminisat,,timeout
6s376r,minisat2,,timeout
6s377r,cadical,,timeout
6s377r,ictminisat,,timeout
6s377r,minisat2,,timeout
6s38,cadical,,timeout
6s38,ictminisat,,timeout
6s38,minisat2,,timeout
6s380b511,cadical,,timeout
6s380b511,ictminisat,,timeout
6s380b511,minisat2,14.63,refuted
6s384rb024,cadical,3.48,proved
6s384rb024,ictminisat,2.53,proved
6s384rb024,minisat2,2.66,proved
6s387rb291,cadical,,timeout
6s387rb291,ictminisat,,timeout
6s387rb291,minisat2,,timeout
6s389b02,cadical,0.66,refuted
6s389b02,ictminisat,0.63,refuted
6s389b02,minisat2,0.70,refuted
6s391rb379,cadical,0.80,proved
6s391rb379,ictminisat,0.42,proved
6s391rb379,minisat2,0.40,proved
6s393r,cadical,,timeout
6s393r,ictminisat,,timeout
6s393r,minisat2,,timeout
6s394r,cadical,,timeout
6s394r,ictminisat,,timeout
6s394r,minisat2,,timeout
6s398b09,cadical,,timeout
6s398b09,ictminisat,,timeout
6s398b09,minisat2,,timeout
6s399b02,cadical,,timeout
6s399b02,ictminisat,,timeout
6s399b02,minisat2,,timeout
6s4,cadical,,timeout
6s4,ictminisat,,timeout
6s4,minisat2,,timeout
6s400rb07819,cadical,,timeout
6s400rb07819,ictminisat,14.40,proved
6s400rb07819,minisat2,14.01,proved
6s402rb0342,cadical,,timeout
6s402rb0342,ictminisat,,timeout
6s402rb0342,minisat2,,timeout
6s403rb1342,cadical,,timeout
6s403rb1342,ictminisat,,timeout
6s403rb1342,minisat2,,timeout
6s404rb1,cadical,,timeout
6s404rb1,ictminisat,,timeout
6s404rb1,minisat2,,timeout
6s404rb4,cadical,,timeout
6s404rb4,ictminisat,,timeout
6s404rb4,minisat2,,timeout
6s406rb067,cadical,,timeout
6s406rb067,ictminisat,6.38,proved
6s406rb067,minisat2,6.84,proved
6s41,cadical,,timeout
6s41,ictminisat,,timeout
6s41,minisat2,,timeout
6s42,cadical,,timeout
6s42,ictminisat,,timeout
6s42,minisat2,,timeout
6s421rb083,cadical,5.33,proved
6s421rb083,ictminisat,1.34,proved
6s421rb083,minisat2,1.40,proved
6s428rb098,cadical,,timeout
6s428rb098,ictminisat,,timeout
6s428rb098,minisat2,,timeout
6s44,cadical,,timeout
6s44,ictminisat,,timeout
6s44,minisat2,,timeout
6s514r,cadical,,timeout
6s514r,ictminisat,,timeout
6s514r,minisat2,,timeout
6s515rb1,cadical,1.06,proved
6s515rb1,ictminisat,0.67,proved
6s515rb1,minisat2,0.88,proved
6s516r,cadical,,timeout
6s516r,ictminisat,,timeout
6s516r,minisat2,,timeout
6s517rb0,cadical,,timeout
6s517rb0,ictminisat,,timeout
6s517rb0,minisat2,,timeout
abp4p2ff,cadical,4.75,refuted
abp4p2ff,ictminisat,3.12,refuted
abp4p2ff,minisat2,3.60,refuted
bc57sensorsp2,cadical,,timeout
bc57sensorsp2,ictminisat,,timeout
bc57sensorsp2,minisat2,,timeout
beemadd4b1,cadical,,timeout
beemadd4b1,ictminisat,56.52,refuted
beemadd4b1,minisat2,,timeout
beemandrsn6b1,cadical,,timeout
beemandrsn6b1,ictminisat,,timeout
beemandrsn6b1,minisat2,,timeout
beemcmbrdg1b1,cadical,,timeout
beemcmbrdg1b1,ictminisat,,timeout
beemcmbrdg1b1,minisat2,,timeout
beemcmbrdg1f1,cadical,,timeout
beemcmbrdg1f1,ictminisat,,timeout
beemcmbrdg1f1,minisat2,,timeout
beemlifts3b1,cadical,,timeout
beemlifts3b1,ictminisat,,timeout
beemlifts3b1,minisat2,,timeout
beemlmprt8f1,cadical,1.48,refuted
beemlmprt8f1,ictminisat,3.19,refuted
beemlmprt8f1,minisat2,3.43,refuted
beemptrsn4b1,cadical,,timeout
beemptrsn4b1,ictminisat,,timeout
beemptrsn4b1,minisat2,,timeout
bj08amba2g1,cadical,0.06,proved
bj08amba2g1,ictminisat,0.06,proved
bj08amba2g1,minisat2,0.06,proved
bj08amba2g4f3,cadical,6.46,refuted
bj08amba2g4f3,ictminisat,1.94,refuted
bj08amba2g4f3,minisat2,2.71,refuted
bj08amba3g1,cadical,0.34,proved
bj08amba3g1,ictminisat,0.25,proved
bj08amba3g1,minisat2,0.38,proved
bj08amba5g62,cadical,1.06,proved
bj08amba5g62,ictminisat,0.51,proved
bj08amba5g62,minisat2,0.75,proved
bj08aut82,cadical,0.05,proved
bj08aut82,ictminisat,0.06,proved
bj08aut82,minisat2,0.03,proved
bj08vendingcycle,cadical,0.05,refuted
bj08vendingcycle,ictminisat,0.03,refuted
bj08vendingcycle,minisat2,0.06,refuted
bob05,cadical,,timeout
bob05,ictminisat,,timeout
bob05,minisat2,,timeout
bob12s09,cadical,,timeout
bob12s09,ictminisat,,timeout
bob12s09,minisat2,,timeout
bob2,cadical,0.06,proved
bob2,ictminisat,0.04,proved
bob2,minisat2,0.04,proved
bob3,cadical,37.60,proved
bob3,ictminisat,10.61,proved
bob3,minisat2,58.51,proved
bob9234specand,cadical,0.06,proved
bob9234specand,ictminisat,0.05,proved
bob9234specand,minisat2,0.05,proved
bobcount,cadical,0.21,proved
bobcount,ictminisat,0.18,proved
bobcount,minisat2,0.24,proved
boblivea,cadical,,timeout
boblivea,ictminisat,,timeout
boblivea,minisat2,,timeout
boblivear,cadical,,timeout
boblivear,ictminisat,,timeout
boblivear,minisat2,,timeout
bobmiterbm1or,cadical,0.17,refuted
bobmiterbm1or,ictminisat,0.08,refuted
bobmiterbm1or,minisat2,0.16,refuted
bobpcihm,cadical,,timeout
bobpcihm,ictminisat,,timeout
bobpcihm,minisat2,,timeout
bobsm9234,cadical,,timeout
bobsm9234,ictminisat,,timeout
bobsm9234,minisat2,,timeout
bobsmcodic,cadical,,timeout
bobsmcodic,ictminisat,,timeout
bobsmcodic,minisat2,,timeout
bobsmfpu,cadical,,timeout
bobsmfpu,ictminisat,,timeout
bobsmfpu,minisat2,,timeout
bobsmhdlc3,cadical,,timeout
