benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
6s206rb103;abcdeep;uns;-1;6.01;7.47;976.1;abcsuperprove;uns;-1;1.45;1.11;85.5;avy;time;-1;3600.05;3591.96;70.8;blimc;unk;1000;630.52;630.27;8259.9;conpcheck;uns;-1;2.59;2.07;163.5;iimc;uns;-1;2.53;1.59;65.1;iprover;uns;-1;32.63;224.06;11046.4;iproverdeep;time;834;3600.13;6617.34;127691.2;nuxmv;uns;-1;1.90;4.24;600.8;nuxmvbmc;unk;1001;1.23;0.57;102.0;pdtravdeep;uns;-1;3.03;1.99;357.9;pdtravthrd;uns;-1;2.66;1.99;579.6;shiftbmc;unk;1000;65.62;65.28;840.8;truss;uns;-1;10.10;26.37;1413.1
6s207rb28;abcdeep;sat;7;2.07;1.65;258.9;abcsuperprove;sat;7;1.16;1.41;679.0;avy;sat;7;4.27;3.18;130.4;blimc;sat;7;7.35;6.79;24.8;conpcheck;sat;7;27.67;76.28;170.7;iimc;sat;7;22.18;30.65;450.7;iprover;sat;7;62.24;427.61;13594.9;iproverdeep;sat;7;62.53;245.23;8025.9;nuxmv;sat;7;1.95;3.02;247.9;nuxmvbmc;sat;7;1.15;0.67;83.5;pdtravdeep;sat;7;23.91;33.38;1039.0;pdtravthrd;sat;7;24.53;72.71;1526.2;shiftbmc;sat;7;8.70;8.48;84.0;truss;sat;7;2.45;6.47;388.2
6s209b0;abcdeep;uns;-1;1.92;1.67;318.7;abcsuperprove;uns;-1;1.06;0.22;41.8;avy;time;-1;3600.06;3599.21;29.6;blimc;time;253;3600.08;3599.53;1317.9;conpcheck;uns;-1;2.70;2.05;90.2;iimc;uns;-1;0.78;0.09;28.1;iprover;uns;-1;4.59;26.19;1348.8;iproverdeep;time;907;3600.34;10963.33;127726.8;nuxmv;uns;-1;1.18;0.17;128.9;nuxmvbmc;unk;1001;0.68;0.07;22.3;pdtravdeep;uns;-1;652.00;2539.69;1056.4;pdtravthrd;uns;-1;5.30;6.51;1239.5;shiftbmc;unk;1000;4.22;3.88;62.5;truss;uns;-1;2.62;8.37;351.8
6s210b037;abcdeep;sat;8;1.45;0.41;91.1;abcsuperprove;sat;8;0.93;0.17;37.3;avy;sat;8;1.00;0.53;29.4;blimc;sat;8;0.56;0.39;5.2;conpcheck;sat;8;2.91;2.05;59.8;iimc;sat;10;1.48;0.85;47.8;iprover;sat;8;6.22;36.05;1237.0;iproverdeep;sat;8;5.72;18.98;723.3;nuxmv;sat;9;1.35;0.16;98.2;nuxmvbmc;sat;8;0.68;0.15;42.2;pdtravdeep;sat;8;5.17;2.72;513.8;pdtravthrd;unk;-1;1.78;1.73;233.8;shiftbmc;sat;8;1.22;0.98;23.7;truss;sat;8;1.18;1.08;119.6
6s215rb0;abcdeep;sat;8;1.16;0.51;92.6;abcsuperprove;sat;8;0.96;0.32;56.3;avy;sat;8;1.84;0.92;108.1;blimc;sat;8;1.85;1.69;6.6;conpcheck;sat;8;3.47;5.67;92.8;iimc;sat;12;6.72;9.04;225.4;iprover;sat;8;16.57;107.50;4043.7;iproverdeep;sat;8;15.81;58.65;2339.0;nuxmv;sat;15;0.72;0.47;126.7;nuxmvbmc;sat;8;0.56;0.18;44.6;pdtravdeep;sat;8;17.79;16.55;550.4;pdtravthrd;sat;8;18.36;40.66;1173.3;shiftbmc;sat;8;2.56;1.58;43.5;truss;sat;8;0.71;1.48;146.3
6s216rb0;abcdeep;sat;14;1.22;0.70;195.5;abcsuperprove;sat;14;0.60;0.49;473.0;avy;sat;14;1.80;0.92;52.9;blimc;sat;14;2.61;1.99;8.7;conpcheck;sat;14;6.85;13.54;125.3;iimc;sat;16;7.53;8.98;242.7;iprover;sat;14;32.66;218.96;6514.4;iproverdeep;sat;14;31.18;121.64;3871.4;nuxmv;sat;15;0.92;0.56;127.1;nuxmvbmc;sat;14;0.82;0.26;50.2;pdtravdeep;sat;14;18.49;17.24;602.1;pdtravthrd;sat;15;16.83;40.00;1183.7;shiftbmc;sat;14;2.34;1.58;55.2;truss;sat;14;1.57;2.58;213.2
6s218b2950;abcdeep;sat;26;17.11;27.74;1545.0;abcsuperprove;sat;26;5.19;7.30;1669.8;avy;sat;26;19.00;17.53;319.2;blimc;sat;26;117.76;116.97;294.0;conpcheck;sat;26;302.83;894.64;475.5;iimc;sat;26;138.36;286.77;4311.3;iprover;sat;26;663.75;4652.83;70256.2;iproverdeep;sat;26;2216.59;8906.93;67568.0;nuxmv;sat;27;18.27;66.95;1714.2;nuxmvbmc;sat;26;16.36;15.28;454.1;pdtravdeep;sat;26;284.26;344.83;3312.4;pdtravthrd;sat;30;278.74;362.54;5225.8;shiftbmc;sat;26;94.74;94.36;317.2;truss;time;24;3600.14;10809.25;6625.3
6s22;abcdeep;time;57;3600.11;28454.36;2233.7;abcsuperprove;time;-1;3600.05;22175.99;3817.1;avy;time;-1;3600.04;14388.18;1429.4;blimc;time;59;3600.04;3599.36;218.8;conpcheck;time;44;3600.06;10797.62;383.6;iimc;time;53;3600.07;28747.71;1276.6;iprover;time;42;3600.05;25334.03;115162.2;iproverdeep;time;37;3600.03;14490.81;83722.4;nuxmv;time;11;3600.07;14397.29;1071.9;nuxmvbmc;time;57;3600.03;3599.22;785.1;pdtravdeep;time;-1;3601.29;14360.59;34253.0;pdtravthrd;time;-1;3600.76;21407.20;19922.3;shiftbmc;time;54;3600.10;3599.30;416.3;truss;time;50;3600.12;10829.17;2164.9
6s221rb14;abcdeep;uns;-1;9.46;12.22;1508.7;abcsuperprove;uns;-1;2.65;1.81;114.9;avy;time;-1;3600.04;3590.79;86.6;blimc;unk;1000;1708.36;1707.11;21210.1;conpcheck;uns;-1;3.15;5.85;225.3;iimc;uns;-1;2.10;1.39;80.9;iprover;time;49;3600.31;14556.32;127701.4;iproverdeep;time;51;3600.02;14473.87;115878.4;nuxmv;uns;-1;3.53;7.92;955.1;nuxmvbmc;unk;1001;1.79;1.17;157.4;pdtravdeep;uns;-1;3.44;2.59;470.7;pdtravthrd;uns;-1;3.64;2.79;775.8;shiftbmc;unk;1000;47.72;47.28;541.0;truss;uns;-1;60.14;197.06;3047.9
6s267rb3;abcdeep;time;27;3600.05;28732.10;1954.4;abcsuperprove;time;-1;3600.08;28436.74;5351.0;avy;time;-1;3600.05;14391.26;1171.4;blimc;time;26;3600.03;3599.26;159.7;conpcheck;time;24;3600.09;10798.62;304.9;iimc;time;24;3600.06;28751.42;1589.7;iprover;time;22;3600.09;23197.95;105097.1;iproverdeep;time;21;3600.05;12455.57;76827.5;nuxmv;time;24;3600.12;14398.84;1379.7;nuxmvbmc;time;25;3600.09;3599.41;700.4;pdtravdeep;time;1;3600.39;14326.17;9667.1;pdtravthrd;time;-1;3600.99;24348.19;26882.0;shiftbmc;time;25;3600.05;3599.64;746.9;truss;time;20;3600.12;10845.91;1919.5
6s268r;abcdeep;time;129;3600.04;28727.22;6987.1;abcsuperprove;time;-1;3600.04;30416.93;7390.6;avy;time;-1;3600.06;14394.08;1932.6;blimc;time;129;3600.07;3599.47;557.2;conpcheck;time;129;3600.03;10797.71;426.5;iimc;time;129;3600.17;28787.49;3342.2;iprover;time;128;3600.22;23625.36;90558.0;iproverdeep;time;128;3600.04;14490.70;68391.3;nuxmv;time;38;3600.03;14397.98;5287.1;nuxmvbmc;time;129;3600.07;3599.25;3329.8;pdtravdeep;time;-1;3601.31;14323.01;25371.1;pdtravthrd;time;-1;3600.51;25061.95;13848.5;shiftbmc;time;129;3600.09;3599.24;459.8;truss;time;129;3600.16;10835.03;1751.8
6s269r;abcdeep;time;89;3600.04;28778.36;2138.1;abcsuperprove;uns;-1;179.53;2008.45;1278.2;avy;uns;-1;1858.12;7425.11;925.0;blimc;time;30;3600.05;3599.58;80.0;conpcheck;uns;-1;2242.02;6709.29;268.7;iimc;time;35;3600.23;28148.73;2527.6;iprover;time;27;3600.09;25335.99;44989.7;iproverdeep;time;27;3600.08;14487.52;50954.8;nuxmv;uns;-1;215.03;859.25;218.7;nuxmvbmc;time;31;3600.08;3598.76;314.5;pdtravdeep;time;-1;3600.08;14386.47;2720.5;pdtravthrd;uns;-1;747.84;4892.45;4557.0;shiftbmc;time;141;3600.09;3599.23;598.7;truss;uns;-1;263.05;819.02;466.2
6s271rb079;abcdeep;uns;-1;5.09;6.94;661.6;abcsuperprove;uns;-1;3.82;7.27;1327.8;avy;uns;-1;19.71;18.83;331.8;blimc;time;60;3600.06;3599.20;1104.4;conpcheck;uns;-1;3.58;6.04;172.9;iimc;uns;-1;18.64;17.99;653.2;iprover;time;49;3600.48;11028.83;127709.6;iproverdeep;time;60;3600.22;11269.77;127707.3;nuxmv;uns;-1;4.69;16.90;840.9;nuxmvbmc;time;314;3600.06;3598.89;7671.6;pdtravdeep;time;958;3603.14;9383.41;55434.3;pdtravthrd;uns;-1;26.31;43.54;2573.6;shiftbmc;unk;1000;163.68;163.06;25590.2;truss;uns;-1;33.27;113.90;2042.1
6s274r;abcdeep;time;66126;3600.03;28674.89;89356.8;abcsuperprove;time;-1;3600.03;34260.90;76155.4;avy;time;-1;3600.11;10794.98;5156.1;blimc;unk;1000;115.38;114.68;549.1;conpcheck;time;1000;3600.03;6731.12;1951.5;iimc;time;65683;3600.34;28719.58;11409.2;iprover;time;143;3600.06;11635.69;127659.5;iproverdeep;time;178;3600.09;13001.45;127680.9;nuxmv;time;22587;3600.06;14398.68;36302.6;nuxmvbmc;unk;1001;27.49;27.36;1602.5;pdtravdeep;time;28550;3602.74;9298.99;53472.4;pdtravthrd;unk;-1;3.57;5.33;233.4;shiftbmc;unk;1000;10.65;10.08;1850.1;truss;time;471;3600.31;10828.62;5478.6
6s275rb318;abcdeep;uns;-1;1.89;2.13;389.7;abcsuperprove;uns;-1;1.13;0.20;41.6;avy;uns;-1;1.43;0.52;45.9;blimc;time;610;3600.07;3599.48;1540.5;conpcheck;uns;-1;3.77;3.05;87.0;iimc;uns;-1;0.85;0.19;30.9;iprover;time;117;3600.21;14651.50;127706.9;iproverdeep;time;91;3600.13;13743.57;127669.9;nuxmv;uns;-1;0.80;0.71;147.9;nuxmvbmc;unk;1001;9.74;9.25;164.5;pdtravdeep;uns;-1;3.17;2.40;126.0;pdtravthrd;uns;-1;2.65;1.79;233.0;shiftbmc;unk;1000;131.19;130.58;178.7;truss;uns;-1;7.05;24.46;413.2
6s276rb342;abcdeep;uns;-1;2.14;1.59;299.2;abcsuperprove;uns;-1;1.26;0.22;53.8;avy;uns;-1;1.72;0.55;105.4;blimc;time;677;3600.06;3599.16;2338.0;conpcheck;uns;-1;2.79;2.86;89.3;iimc;uns;-1;0.72;0.19;31.0;iprover;time;91;3600.67;13130.75;127723.5;iproverdeep;time;94;3600.19;12370.58;113240.0;nuxmv;uns;-1;0.56;0.36;139.9;nuxmvbmc;unk;1001;6.68;6.27;130.1;pdtravdeep;uns;-1;4.24;3.49;166.5;pdtravthrd;uns;-1;3.10;2.89;234.0;shiftbmc;unk;1000;11.07;10.38;160.2;truss;uns;-1;6.86;23.64;408.6
6s279r;abcdeep;time;17;3600.10;28741.85;1436.9;abcsuperprove;time;-1;3600.09;41915.96;3258.0;avy;time;-1;3600.08;14393.07;1004.9;blimc;time;17;3600.03;3599.67;93.1;conpcheck;time;13;3600.08;10798.67;291.3;iimc;time;15;3600.06;28765.45;1033.4;iprover;time;15;3600.07;25350.92;31949.3;iproverdeep;time;15;3600.07;14483.61;30510.8;nuxmv;time;12;3600.03;14398.48;536.1;nuxmvbmc;time;15;3600.06;3599.38;222.0;pdtravdeep;time;-1;3600.05;14388.40;1888.9;pdtravthrd;time;-1;3600.36;21633.21;8278.4;shiftbmc;time;15;3600.09;3599.39;553.8;truss;time;11;3600.13;10830.86;1864.5
6s280r;abcdeep;time;19;3600.05;28772.51;1517.4;abcsuperprove;time;-1;3600.08;42657.73;4667.8;avy;time;-1;3600.07;14396.35;1001.6;blimc;time;19;3600.05;3599.36;96.8;conpcheck;time;14;3600.11;10797.95;295.1;iimc;time;16;3600.04;28788.03;1225.6;iprover;time;16;3600.10;25334.73;31217.5;iproverdeep;time;16;3600.03;14481.29;22951.0;nuxmv;time;13;3600.04;14397.81;486.4;nuxmvbmc;time;16;3600.08;3599.95;196.8;pdtravdeep;time;-1;3600.08;14391.39;1441.1;pdtravthrd;time;-1;3600.24;21642.75;5674.3;shiftbmc;time;16;3600.03;3599.20;854.9;truss;time;12;3600.08;10847.10;1793.2
6s281b35;abcdeep;mem;328098;249.80;1139.51;128095.9;abcsuperprove;uns;-1;33.61;180.13;8675.3;avy;uns;-1;980.02;3433.56;7880.3;blimc;time;29;3600.03;3599.19;455.8;conpcheck;uns;-1;1078.99;3219.70;1615.3;iimc;uns;-1;27.04;26.87;601.3;iprover;time;17;3600.10;17325.55;122451.5;iproverdeep;time;9;3600.04;7920.50;77379.1;nuxmv;uns;-1;420.84;1645.52;6923.2;nuxmvbmc;time;25;3600.09;3599.11;1709.6;pdtravdeep;uns;-1;18.34;18.00;2314.2;pdtravthrd;uns;-1;19.33;18.79;3537.8;shiftbmc;time;116;3600.07;3599.06;2246.0;truss;time;1;3600.97;10556.51;30731.6
6s288r;abcdeep;uns;-1;13.18;46.29;2265.3;abcsuperprove;uns;-1;12.96;147.11;3494.5;avy;uns;-1;27.56;49.29;1019.2;blimc;time;509;3600.09;3598.93;4699.4;conpcheck;uns;-1;21.77;58.24;194.8;iimc;uns;-1;396.52;2654.17;6895.3;iprover;time;109;3600.12;0.00;5.3;iproverdeep;time;95;3600.11;11985.05;109326.3;nuxmv;uns;-1;37.72;145.80;1895.7;nuxmvbmc;unk;1001;501.31;500.72;11624.8;pdtravdeep;time;1266;3602.83;9085.26;52826.5;pdtravthrd;uns;-1;514.69;1141.18;3054.3;shiftbmc;unk;1000;72.41;72.07;8906.1;truss;uns;-1;122.45;385.49;2148.0
6s29;abcdeep;time;165;3600.07;28625.00;3639.3;abcsuperprove;time;-1;3600.09;23207.64;3578.9;avy;time;-1;3600.06;14393.38;2062.5;blimc;time;166;3600.11;3599.20;239.4;conpcheck;time;101;3600.08;10798.63;486.4;iimc;time;126;3600.11;28733.10;2144.1;iprover;time;52;3600.08;25330.63;127059.1;iproverdeep;time;52;3600.12;14488.29;85687.4;nuxmv;time;155;3600.03;14400.06;2194.1;nuxmvbmc;time;156;3600.06;3599.38;1511.9;pdtravdeep;time;2;3600.90;14303.64;29341.9;pdtravthrd;time;-1;3601.29;24781.13;42406.3;shiftbmc;time;153;3600.06;3599.72;542.6;truss;time;79;3600.19;10831.33;2812.9
6s290;abcdeep;uns;-1;67.40;463.18;1123.1;abcsuperprove;time;-1;3600.05;42469.04;7715.6;avy;uns;-1;13.75;29.24;247.6;blimc;time;167;3600.03;3599.71;275.3;conpcheck;uns;-1;138.93;393.64;158.7;iimc;time;17;3600.09;28780.50;1768.5;iprover;time;13;3600.10;25338.37;31179.6;iproverdeep;time;13;3600.05;14492.04;19455.1;nuxmv;time;12;3600.09;14396.15;976.7;nuxmvbmc;time;13;3600.07;3599.67;172.5;pdtravdeep;time;15;3600.05;14375.71;2075.0;pdtravthrd;uns;-1;100.30;557.81;2624.2;shiftbmc;time;179;3600.06;3598.85;1766.1;truss;uns;-1;1618.21;4876.46;2426.8
6s292rb037;abcdeep;time;1015;3600.03;28777.55;20256.1;abcsuperprove;uns;-1;1.74;20.12;1035.8;avy;time;-1;3600.10;14395.67;12992.6;blimc;time;233;3600.05;3599.19;203.8;conpcheck;time;366;3600.05;10219.11;583.9;iimc;uns;-1;16.91;130.17;177.3;iprover;time;181;3600.41;14772.54;127687.8;iproverdeep;time;192;3600.11;13761.00;127659.9;nuxmv;time;369;3600.08;14399.50;1175.7;nuxmvbmc;time;371;3600.02;3599.71;759.9;pdtravdeep;uns;-1;3.71;2.89;132.4;pdtravthrd;uns;-1;6.02;7.29;254.1;shiftbmc;unk;1000;2927.81;2926.82;1032.7;truss;uns;-1;82.81;276.99;1007.7
6s299b685;abcdeep;sat;22;183.63;266.76;16224.2;abcsuperprove;sat;37;2272.16;14284.10;66990.9;avy;sat;22;142.42;120.01;9683.3;blimc;time;5;3600.14;3599.33;10687.0;conpcheck;time;4;3600.06;10798.06;6147.9;iimc;s6;-1;1240.16;1238.90;11190.9;iprover;time;-1;3600.22;2742.26;127708.1;iproverdeep;time;-1;3600.31;2586.28;127699.1;nuxmv;time;5;3600.17;14317.91;40198.8;nuxmvbmc;time;7;3600.13;3598.19;10943.1;pdtravdeep;time;20;3602.73;7301.26;71342.5;pdtravthrd;time;-1;3603.23;17264.86;93363.0;shiftbmc;time;-1;3600.03;3599.02;4379.9;truss;time;1;3602.55;9512.97;64696.8
6s310r;abcdeep;time;972;3600.07;28770.84;4586.0;abcsuperprove;uns;-1;230.58;2438.27;1352.1;avy;uns;-1;480.66;1919.68;882.3;blimc;time;66;3600.09;3599.43;81.6;conpcheck;uns;-1;1106.21;3302.86;313.5;iimc;uns;-1;2411.09;18354.69;3343.8;iprover;time;36;3600.05;22130.42;80524.6;iproverdeep;time;35;3600.07;14491.22;66337.8;nuxmv;uns;-1;110.81;440.53;245.1;nuxmvbmc;time;344;3600.04;3599.58;787.9;pdtravdeep;time;-1;3600.23;13490.13;6008.9;pdtravthrd;uns;-1;2315.39;14065.40;6251.7;shiftbmc;time;781;3600.08;3599.41;1583.5;truss;time;32;3600.08;10828.07;1589.5
6s316b421;abcdeep;time;18;3600.10;27983.67;3917.3;abcsuperprove;time;-1;3600.07;25726.70;8332.3;avy;time;-1;3600.08;14147.75;2722.1;blimc;time;15;3600.06;3599.60;1116.6;conpcheck;time;14;3600.08;10797.42;1645.9;iimc;time;15;3600.16;28255.00;6164.2;iprover;time;13;3600.20;12067.75;127638.9;iproverdeep;time;14;3600.15;14176.52;127707.2;nuxmv;time;13;3600.12;14393.96;5026.3;nuxmvbmc;time;15;3600.06;3598.92;1557.2;pdtravdeep;time;-1;3600.59;14004.76;13176.9;pdtravthrd;time;-1;3600.57;20759.29;13442.6;shiftbmc;time;15;3600.07;3599.35;1963.3;truss;time;13;3600.43;10812.94;11746.3
6s316b460;abcdeep;time;19;3600.10;27954.88;3525.8;abcsuperprove;time;-1;3600.12;26230.92;8044.9;avy;time;-1;3600.10;14145.76;3763.8;blimc;time;15;3600.05;3599.39;1061.6;conpcheck;time;14;3600.11;10797.98;1269.7;iimc;time;15;3600.07;28265.23;6277.3;iprover;time;13;3600.24;9820.23;127714.7;iproverdeep;time;13;3600.10;14490.17;123323.3;nuxmv;time;13;3600.12;14392.37;5382.3;nuxmvbmc;time;15;3600.03;3599.37;1336.7;pdtravdeep;time;-1;3600.56;14004.08;12380.0;pdtravthrd;time;-1;3600.67;20756.35;13976.8;shiftbmc;time;15;3600.06;3599.30;1257.6;truss;time;14;3600.36;10810.44;11179.0
6s319r;abcdeep;sat;158;5.19;25.87;390.2;abcsuperprove;sat;158;14.69;179.73;1004.8;avy;sat;158;19.89;74.67;456.4;blimc;sat;158;18.04;17.28;19.5;conpcheck;sat;158;389.19;1159.62;140.8;iimc;sat;158;79.72;633.22;276.5;iprover;sat;158;847.28;5944.54;57565.8;iproverdeep;sat;158;942.16;3780.03;40656.4;nuxmv;sat;30441;47.55;184.54;179.3;nuxmvbmc;sat;158;67.70;66.83;99.9;pdtravdeep;sat;158;5.70;11.41;732.5;pdtravthrd;sat;998;15.36;75.81;1199.0;shiftbmc;sat;158;58.11;57.08;55.4;truss;time;116;3600.23;10876.39;3430.5
6s320rb1;abcdeep;sat;9;2068.29;14306.52;1589.3;abcsuperprove;sat;16;245.22;1327.62;1876.2;avy;time;-1;3600.04;14371.76;1115.7;blimc;sat;9;1258.90;1258.31;91.6;conpcheck;time;7;3600.11;10798.09;311.7;iimc;time;8;3601.14;26617.01;11185.2;iprover;time;7;3600.07;25331.03;58533.4;iproverdeep;time;7;3600.10;11452.39;42926.5;nuxmv;sat;28128;792.30;3163.20;821.1;nuxmvbmc;time;8;3600.11;3598.74;518.3;pdtravdeep;sat;10;128.22;276.96;1345.3;pdtravthrd;sat;17;1228.34;8154.94;5914.4;shiftbmc;sat;9;1867.70;1866.95;192.5;truss;time;7;3600.05;10863.61;1410.4
6s322rb646;abcdeep;time;14;3600.10;27987.29;9028.7;abcsuperprove;time;-1;3600.10;20147.76;16805.9;avy;time;-1;3600.11;14049.10;3017.1;blimc;time;8;3600.04;3600.10;1043.6;conpcheck;time;8;3600.04;10799.27;1410.6;iimc;time;9;3600.25;28117.73;8508.3;iprover;time;5;3600.21;8721.85;127700.3;iproverdeep;time;4;3600.06;9631.49;119970.2;nuxmv;time;10;3600.04;14390.51;8253.2;nuxmvbmc;time;10;3600.03;3599.01;4133.1;pdtravdeep;time;-1;3600.96;14043.47;20227.8;pdtravthrd;time;-1;3601.06;20877.74;26275.7;shiftbmc;time;10;3600.08;3599.30;1501.4;truss;time;5;3600.18;10805.98;8426.4
6s329rb19;abcdeep;time;47;3600.06;28365.76;3207.2;abcsuperprove;time;-1;3600.08;35699.95;4782.0;avy;time;-1;3600.11;14333.27;3130.3;blimc;time;47;3600.10;3599.26;698.5;conpcheck;time;29;3600.05;10796.59;859.4;iimc;time;55;3600.07;28331.60;2407.3;iprover;time;16;3600.14;8953.87;127698.6;iproverdeep;time;19;3600.11;13950.88;127672.6;nuxmv;time;30;3600.07;14396.62;6886.1;nuxmvbmc;time;31;3600.10;3598.87;1248.9;pdtravdeep;time;1;3600.43;14232.83;9036.6;pdtravthrd;time;-1;3600.45;21399.57;9663.4;shiftbmc;time;39;3600.04;3598.92;975.4;truss;time;15;3600.18;10817.13;6113.3
6s341r;abcdeep;time;17;3600.04;28602.09;2597.5;abcsuperprove;time;-1;3600.05;30023.99;4543.0;avy;time;-1;3600.11;14374.86;4754.2;blimc;time;22;3600.04;3599.34;257.3;conpcheck;time;15;3600.03;10797.96;473.9;iimc;time;12;3600.05;28606.34;1928.8;iprover;time;12;3600.11;25339.39;95119.4;iproverdeep;time;12;3600.11;14487.26;62530.4;nuxmv;time;13;3600.08;14397.77;2493.4;nuxmvbmc;time;13;3600.08;3599.42;1001.6;pdtravdeep;time;-1;3600.68;13433.14;12797.9;pdtravthrd;time;-1;3600.34;20313.14;8314.2;shiftbmc;time;20;3600.07;3598.76;626.1;truss;time;12;3600.21;10953.88;2753.1
6s342rb122;abcdeep;time;402;3600.04;28068.12;14277.2;abcsuperprove;time;-1;3600.11;41435.20;11612.0;avy;time;-1;3600.07;14242.52;6190.8;blimc;time;202;3600.08;3599.61;1280.9;conpcheck;time;215;3600.03;10797.27;1944.2;iimc;time;245;3600.13;28514.06;3084.5;iprover;time;69;3600.19;13097.51;127655.2;iproverdeep;time;72;3600.02;12931.29;117821.7;nuxmv;time;295;3600.06;14394.00;7054.7;nuxmvbmc;time;311;3600.03;3599.03;3817.2;pdtravdeep;time;30;3602.04;13136.38;33826.4;pdtravthrd;time;-1;3600.76;18333.10;18060.7;shiftbmc;time;267;3600.03;3598.97;2237.0;truss;time;33;3600.53;10804.53;18952.5
6s343b08;abcdeep;uns;-1;364.90;2700.83;6183.6;abcsuperprove;uns;-1;21.02;285.48;2359.8;avy;uns;-1;62.74;223.35;1248.9;blimc;time;65;3600.12;3598.94;731.0;conpcheck;time;1000;3600.10;7199.04;9194.7;iimc;uns;-1;312.13;2260.97;3111.3;iprover;time;42;3600.39;18485.27;127669.0;iproverdeep;time;41;3600.09;14491.27;95239.1;nuxmv;uns;-1;22.56;87.34;899.2;nuxmvbmc;time;721;3600.10;3598.74;8894.0;pdtravdeep;time;462;3602.53;10103.15;44502.0;pdtravthrd;uns;-1;553.66;1413.46;3056.4;shiftbmc;unk;1000;360.72;360.47;9063.3;truss;time;101;3600.14;10826.90;2936.6
6s344rb054;abcdeep;uns;-1;3.53;4.01;544.6;abcsuperprove;uns;-1;1.56;0.52;59.7;avy;time;-1;3600.07;3595.02;55.5;blimc;time;525;3600.05;3599.27;1109.0;conpcheck;uns;-1;2.45;1.96;71.1;iimc;uns;-1;1.82;1.29;70.3;iprover;unk;0;16.06;106.86;7435.4;iproverdeep;unk;2;35.06;68.16;4455.6;nuxmv;uns;-1;1.14;0.99;301.5;nuxmvbmc;unk;1001;0.64;0.16;54.9;pdtravdeep;uns;-1;69.61;68.99;232.6;pdtravthrd;uns;-1;71.59;71.09;325.9;shiftbmc;unk;1000;11.87;11.38;71.8;truss;uns;-1;4.42;8.13;725.0
6s344rb150;abcdeep;uns;-1;6.58;16.13;1694.3;abcsuperprove;uns;-1;1.34;0.49;57.9;avy;time;-1;3600.08;3594.87;55.6;blimc;time;561;3600.05;3599.55;1158.9;conpcheck;uns;-1;13.78;35.14;149.1;iimc;uns;-1;1.96;1.19;69.6;iprover;time;41;3600.35;12724.73;127705.6;iproverdeep;time;55;3600.19;13448.39;127696.5;nuxmv;uns;-1;1.09;0.94;301.7;nuxmvbmc;unk;1001;0.83;0.16;54.9;pdtravdeep;uns;-1;68.98;68.08;232.5;pdtravthrd;uns;-1;70.52;70.20;324.8;shiftbmc;unk;1000;11.90;11.28;73.5;truss;uns;-1;201.72;628.90;1591.7
6s348b53;abcdeep;time;2870;3600.05;28679.87;14717.4;abcsuperprove;uns;-1;14.71;124.91;1263.6;avy;time;-1;3600.11;14334.17;3587.7;blimc;time;518;3600.10;3599.14;1126.1;conpcheck;time;22;3600.08;10800.11;314.5;iimc;uns;-1;2183.70;17416.82;4261.7;iprover;uns;-1;296.21;2071.17;26244.0;iproverdeep;time;41;3600.08;14489.07;79185.0;nuxmv;time;1766;3600.07;14396.67;7098.7;nuxmvbmc;unk;1001;1973.47;1972.68;3843.1;pdtravdeep;time;20;3600.10;14365.88;3905.1;pdtravthrd;time;-1;3600.17;21588.60;5654.9;shiftbmc;time;62;3600.08;3599.14;2095.7;truss;time;22;3600.15;10812.75;3443.1
6s351rb02;abcdeep;time;152;3600.05;28584.53;2770.7;abcsuperprove;sat;80609;3044.57;17290.18;3495.6;avy;time;-1;3600.03;14390.02;1604.4;blimc;time;151;3600.08;3599.31;227.7;conpcheck;time;112;3600.03;10798.11;490.9;iimc;time;139;3600.09;28724.64;1444.1;iprover;time;55;3600.18;23704.96;127719.3;iproverdeep;time;55;3600.11;14491.07;94061.6;nuxmv;time;24;3600.04;14397.04;1723.0;nuxmvbmc;time;151;3600.10;3599.20;1326.9;pdtravdeep;time;6;3600.76;14211.10;27158.2;pdtravthrd;time;-1;3601.24;24570.44;31089.7;shiftbmc;time;129;3600.09;3599.39;486.8;truss;time;68;3600.21;10827.95;2791.8
6s351rb15;abcdeep;time;354;3600.03;28626.36;7967.9;abcsuperprove;sat;22688;35.43;403.53;2560.6;avy;time;-1;3600.06;14389.74;3690.1;blimc;time;339;3600.09;3599.56;976.6;conpcheck;time;318;3600.12;10789.91;979.3;iimc;time;345;3600.11;28726.28;3506.3;iprover;time;256;3600.10;16107.13;127708.4;iproverdeep;time;256;3600.04;14491.28;117351.2;nuxmv;time;354;3600.04;14397.83;4169.8;nuxmvbmc;time;354;3600.04;3599.18;3209.2;pdtravdeep;sat;356;1421.03;4548.92;22336.5;pdtravthrd;sat;3897;311.39;1450.62;2938.1;shiftbmc;time;323;3600.07;3599.25;1038.4;truss;time;228;3600.12;10827.38;2525.1
