benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
6s119;abcdeep;time;57;3600.05;28036.56;3421.4;abcsuperprove;time;-1;3600.11;28402.37;6765.0;avy;time;-1;3600.06;14340.09;2956.5;blimc;time;50;3600.10;3599.28;671.3;conpcheck;time;46;3600.08;10797.37;1065.3;iimc;time;49;3600.10;28548.80;2889.8;iprover;time;41;3600.16;11927.91;127736.2;iproverdeep;time;40;3600.06;12402.14;114192.1;nuxmv;time;51;3600.10;14396.21;9096.8;nuxmvbmc;time;51;3600.07;3599.38;1279.2;pdtravdeep;time;1;3600.34;14205.01;10588.3;pdtravthrd;sat;119;1283.28;6857.78;10049.1;shiftbmc;time;52;3600.05;3599.76;1077.0;truss;time;39;3600.23;10821.73;5533.2
6s120;abcdeep;uns;-1;1.65;5.57;361.1;abcsuperprove;uns;-1;0.99;6.88;792.8;avy;uns;-1;0.98;1.04;116.7;blimc;time;178;3600.06;3599.36;155.8;conpcheck;uns;-1;2.49;2.27;79.0;iimc;uns;-1;3.47;24.15;100.5;iprover;time;202;3600.04;23894.58;68300.6;iproverdeep;time;162;3600.06;11885.13;40505.6;nuxmv;uns;-1;2.93;8.08;113.9;nuxmvbmc;unk;1001;745.66;744.91;1125.8;pdtravdeep;time;-1;3600.23;13484.20;7467.2;pdtravthrd;uns;-1;5.55;19.51;1046.5;shiftbmc;unk;1000;653.94;653.70;1389.1;truss;uns;-1;1.98;6.42;85.4
6s128;abcdeep;time;-1;3600.10;63499.65;7976.3;abcsuperprove;time;-1;3600.02;63394.85;6533.1;avy;time;-1;3600.12;3560.33;371.6;blimc;time;-1;3600.07;3599.12;256.6;conpcheck;time;-1;3600.07;10797.98;1618.4;iimc;time;-1;3600.88;26568.82;12635.6;iprover;time;-1;3600.03;25324.87;42252.0;iproverdeep;time;-1;3600.03;14478.64;23599.7;nuxmv;time;-1;3600.05;14389.04;3459.2;nuxmvbmc;time;-1;3600.06;3598.94;1063.9;pdtravdeep;time;-1;3600.05;3599.46;908.6;pdtravthrd;time;-1;3600.04;3599.06;909.1;shiftbmc;time;-1;3600.02;3599.16;454.1;truss;s6;-1;5.99;10.53;1002.4
6s130;abcdeep;time;239;3600.11;28716.06;3865.1;abcsuperprove;uns;-1;30.34;263.80;1141.8;avy;uns;-1;57.93;216.11;363.8;blimc;time;37;3600.09;3599.27;201.1;conpcheck;time;102;3600.09;10797.48;645.4;iimc;uns;-1;112.06;839.01;520.0;iprover;time;63;3600.10;25340.28;94597.0;iproverdeep;time;67;3600.08;13022.30;69476.2;nuxmv;uns;-1;303.48;1210.99;625.2;nuxmvbmc;time;69;3600.12;3599.44;884.8;pdtravdeep;time;-1;3600.19;14370.08;5040.7;pdtravthrd;uns;-1;95.69;614.17;1656.8;shiftbmc;time;294;3600.09;3599.25;1620.5;truss;time;17;3600.09;10828.04;1381.6
6s131;abcdeep;time;320;3600.08;28712.67;4060.0;abcsuperprove;uns;-1;32.41;294.83;1127.9;avy;uns;-1;62.23;233.69;364.3;blimc;time;38;3600.10;3599.43;212.8;conpcheck;time;123;3600.05;10798.39;839.5;iimc;uns;-1;99.53;741.45;537.3;iprover;time;147;3600.04;21735.45;80361.5;iproverdeep;time;59;3600.08;10877.82;50429.3;nuxmv;uns;-1;414.61;1655.72;673.7;nuxmvbmc;time;69;3600.10;3599.16;796.6;pdtravdeep;time;-1;3600.12;14368.85;5445.3;pdtravthrd;uns;-1;94.13;610.83;1589.7;shiftbmc;time;383;3600.08;3599.29;2301.0;truss;time;17;3600.10;10829.94;1451.7
6s134;abcdeep;sat;168;28.24;213.87;594.2;abcsuperprove;sat;336;3.79;15.76;725.8;avy;sat;168;46.68;180.65;503.6;blimc;sat;168;223.34;222.55;22.6;conpcheck;sat;168;2386.89;7155.75;264.1;iimc;sat;168;242.55;1923.01;445.7;iprover;time;143;3600.23;18461.41;127684.4;iproverdeep;time;145;3600.08;13525.20;109673.0;nuxmv;sat;1723;7.35;27.33;151.1;nuxmvbmc;sat;168;140.40;139.71;155.9;pdtravdeep;sat;169;21.34;65.24;794.8;pdtravthrd;sat;1869;7.69;21.39;1106.8;shiftbmc;sat;168;350.21;349.75;127.4;truss;time;107;3600.14;10828.48;2542.9
6s145;abcdeep;time;37;3600.10;28677.14;2669.6;abcsuperprove;uns;-1;2267.39;9329.74;2058.7;avy;time;-1;3600.09;14367.03;1717.3;blimc;time;35;3600.08;3599.36;268.7;conpcheck;time;31;3600.10;10797.82;401.0;iimc;time;31;3600.11;28759.81;1538.7;iprover;time;24;3600.03;25337.58;111351.5;iproverdeep;time;24;3600.09;13790.43;82422.1;nuxmv;time;33;3600.09;14395.69;1468.4;nuxmvbmc;time;33;3600.09;3598.92;511.7;pdtravdeep;time;6;3600.34;14364.48;6971.5;pdtravthrd;time;-1;3600.44;21605.84;10318.5;shiftbmc;time;38;3600.07;3599.34;564.9;truss;time;17;3600.18;10826.82;3374.9
6s158;abcdeep;time;2;3600.08;28660.09;1512.9;abcsuperprove;time;-1;3600.03;111563.24;9482.2;avy;time;-1;3600.03;14387.41;2980.3;blimc;time;2;3600.03;3599.26;123.5;conpcheck;time;1;3600.04;10797.62;259.0;iimc;time;1;3600.71;28169.49;7256.7;iprover;time;1;3600.08;25357.36;17363.7;iproverdeep;time;1;3600.09;14489.66;14998.4;nuxmv;time;1;3600.06;14397.00;968.8;nuxmvbmc;time;1;3600.11;3599.43;341.1;pdtravdeep;time;-1;3600.07;14363.33;3841.7;pdtravthrd;time;-1;3600.20;22104.11;4061.0;shiftbmc;time;2;3600.11;3599.24;621.6;truss;time;1;3600.11;10842.11;1161.9
6s16;abcdeep;time;13;3600.04;28667.55;1928.3;abcsuperprove;sat;21934;1165.47;13000.77;3618.0;avy;time;-1;3600.10;14385.75;1585.0;blimc;time;13;3600.02;3599.65;140.8;conpcheck;time;11;3600.09;10798.21;286.5;iimc;time;11;3600.13;28763.39;1470.3;iprover;time;10;3600.08;21735.46;63678.4;iproverdeep;time;9;3600.09;9148.35;42532.3;nuxmv;sat;1463;22.76;89.22;258.4;nuxmvbmc;time;11;3600.08;3599.83;422.0;pdtravdeep;time;-1;3600.46;14373.28;12056.7;pdtravthrd;sat;1600;25.16;140.62;1335.2;shiftbmc;time;12;3600.05;3599.30;474.2;truss;time;9;3600.08;10829.44;1480.8
6s160;abcdeep;time;229;3600.03;28726.91;2377.7;abcsuperprove;time;-1;3600.03;42298.97;3868.7;avy;time;-1;3600.11;14392.85;2598.2;blimc;time;157;3600.04;3599.25;289.3;conpcheck;time;110;3600.09;10798.36;386.5;iimc;time;195;3600.60;28158.82;5899.3;iprover;time;81;3600.34;22685.33;127731.8;iproverdeep;time;81;3600.08;14491.49;98288.7;nuxmv;time;47;3600.08;14398.11;787.3;nuxmvbmc;time;105;3600.08;3599.64;392.7;pdtravdeep;time;-1;3600.38;14374.58;10559.8;pdtravthrd;time;-1;3600.57;25019.81;12729.8;shiftbmc;time;157;3600.11;3598.76;532.4;truss;time;58;3600.14;10836.07;2039.4
